kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT,kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT,DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2,TCC_Dnase I.Nucleosome.lag.1,TCC_Dnase I.Nucleosome.lag.2,TCC_Nucleosome.Dnase I.lag.1,TCC_Nucleosome.Dnase I.lag.2,TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2,PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3,PseKNC_5_Xc1.AAA,PseKNC_5_Xc1.AAC,PseKNC_5_Xc1.AAG,PseKNC_5_Xc1.AAT,PseKNC_5_Xc1.ACA,PseKNC_5_Xc1.ACC,PseKNC_5_Xc1.ACG,PseKNC_5_Xc1.ACT,PseKNC_5_Xc1.AGA,PseKNC_5_Xc1.AGC,PseKNC_5_Xc1.AGG,PseKNC_5_Xc1.AGT,PseKNC_5_Xc1.ATA,PseKNC_5_Xc1.ATC,PseKNC_5_Xc1.ATG,PseKNC_5_Xc1.ATT,PseKNC_5_Xc1.CAA,PseKNC_5_Xc1.CAC,PseKNC_5_Xc1.CAG,PseKNC_5_Xc1.CAT,PseKNC_5_Xc1.CCA,PseKNC_5_Xc1.CCC,PseKNC_5_Xc1.CCG,PseKNC_5_Xc1.CCT,PseKNC_5_Xc1.CGA,PseKNC_5_Xc1.CGC,PseKNC_5_Xc1.CGG,PseKNC_5_Xc1.CGT,PseKNC_5_Xc1.CTA,PseKNC_5_Xc1.CTC,PseKNC_5_Xc1.CTG,PseKNC_5_Xc1.CTT,PseKNC_5_Xc1.GAA,PseKNC_5_Xc1.GAC,PseKNC_5_Xc1.GAG,PseKNC_5_Xc1.GAT,PseKNC_5_Xc1.GCA,PseKNC_5_Xc1.GCC,PseKNC_5_Xc1.GCG,PseKNC_5_Xc1.GCT,PseKNC_5_Xc1.GGA,PseKNC_5_Xc1.GGC,PseKNC_5_Xc1.GGG,PseKNC_5_Xc1.GGT,PseKNC_5_Xc1.GTA,PseKNC_5_Xc1.GTC,PseKNC_5_Xc1.GTG,PseKNC_5_Xc1.GTT,PseKNC_5_Xc1.TAA,PseKNC_5_Xc1.TAC,PseKNC_5_Xc1.TAG,PseKNC_5_Xc1.TAT,PseKNC_5_Xc1.TCA,PseKNC_5_Xc1.TCC,PseKNC_5_Xc1.TCG,PseKNC_5_Xc1.TCT,PseKNC_5_Xc1.TGA,PseKNC_5_Xc1.TGC,PseKNC_5_Xc1.TGG,PseKNC_5_Xc1.TGT,PseKNC_5_Xc1.TTA,PseKNC_5_Xc1.TTC,PseKNC_5_Xc1.TTG,PseKNC_5_Xc1.TTT,PseKNC_5_Xc2.lambda.1,PseKNC_5_Xc2.lambda.2,PseKNC_5_Xc2.lambda.3,PseKNC_5_Xc2.lambda.4,PseKNC_5_Xc2.lambda.5,C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
HL41_04955,160,62,117,95,58,36,31,59,110,42,95,67,106,44,71,133,66,25,39,29,23,16,8,15,49,13,36,19,31,21,19,24,22,5,19,12,13,3,6,14,7,1,17,6,14,4,13,28,38,13,28,31,10,7,8,17,33,17,17,28,23,3,11,30,34,19,31,22,12,10,9,13,21,11,25,14,38,16,28,51,-0.274,-0.02,-0.212,0,-0.298,-0.021,-0.178,-0.018,-0.274,-0.02,-0.212,0,-0.171,-0.087,-0.155,-0.138,0.19,0.072,0.539,0.148,-0.171,-0.087,-0.155,-0.138,0.098,0.038,0.072,0.058,0.036,0.022,0.019,0.036,0.068,0.026,0.058,0.041,0.065,0.027,0.044,0.082,0.079,0.067,0.063,0.013,0.005,0.008,0.006,0.005,0.003,0.002,0.003,0.01,0.003,0.007,0.004,0.006,0.004,0.004,0.005,0.004,0.001,0.004,0.002,0.003,0.001,0.001,0.003,0.001,0,0.003,0.001,0.003,0.001,0.003,0.006,0.008,0.003,0.006,0.006,0.002,0.001,0.002,0.003,0.007,0.003,0.003,0.006,0.005,0.001,0.002,0.006,0.007,0.004,0.006,0.004,0.002,0.002,0.002,0.003,0.004,0.002,0.005,0.003,0.008,0.003,0.006,0.01,0.284,0.238,0.224,0.009,0.003,0.005,0.004,0.003,0.002,0.001,0.002,0.007,0.002,0.005,0.003,0.004,0.003,0.003,0.003,0.003,0.001,0.003,0.002,0.002,0,0.001,0.002,0.001,0,0.002,0.001,0.002,0.001,0.002,0.004,0.005,0.002,0.004,0.004,0.001,0.001,0.001,0.002,0.004,0.002,0.002,0.004,0.003,0,0.001,0.004,0.005,0.003,0.004,0.003,0.002,0.001,0.001,0.002,0.003,0.001,0.003,0.002,0.005,0.002,0.004,0.007,0.194,0.162,0.153,0.163,0.155,0.1662,0.4559,0.2397,0.189,-0.038,0.396,48.83,0.298,0.388,419,428,-0.233878,0.088785,NA
HL41_04960,146,32,99,89,30,41,18,71,83,34,69,62,107,53,62,161,72,8,41,25,3,13,4,12,43,15,24,17,23,16,20,30,11,2,11,6,6,11,8,16,1,7,8,2,16,8,12,35,28,7,19,28,8,4,2,20,20,5,12,32,17,10,9,26,35,15,28,29,13,13,4,23,19,7,25,11,51,19,21,70,-0.203,-0.025,-0.184,-0.027,-0.24,-0.007,-0.15,-0.043,-0.203,-0.025,-0.184,-0.027,-0.12,-0.058,-0.13,-0.16,0.324,0.128,0.582,0.259,-0.12,-0.058,-0.13,-0.16,0.1,0.022,0.068,0.061,0.021,0.028,0.012,0.049,0.057,0.023,0.047,0.042,0.073,0.036,0.042,0.11,0.076,0.066,0.065,0.016,0.002,0.009,0.006,0.001,0.003,0.001,0.003,0.01,0.003,0.005,0.004,0.005,0.004,0.004,0.007,0.002,0,0.002,0.001,0.001,0.002,0.002,0.004,0,0.002,0.002,0,0.004,0.002,0.003,0.008,0.006,0.002,0.004,0.006,0.002,0.001,0,0.004,0.004,0.001,0.003,0.007,0.004,0.002,0.002,0.006,0.008,0.003,0.006,0.006,0.003,0.003,0.001,0.005,0.004,0.002,0.006,0.002,0.011,0.004,0.005,0.016,0.275,0.236,0.231,0.011,0.001,0.006,0.004,0,0.002,0.001,0.002,0.007,0.002,0.004,0.003,0.004,0.002,0.003,0.005,0.002,0,0.002,0.001,0.001,0.002,0.001,0.002,0,0.001,0.001,0,0.002,0.001,0.002,0.005,0.004,0.001,0.003,0.004,0.001,0.001,0,0.003,0.003,0.001,0.002,0.005,0.003,0.002,0.001,0.004,0.005,0.002,0.004,0.004,0.002,0.002,0.001,0.004,0.003,0.001,0.004,0.002,0.008,0.003,0.003,0.011,0.189,0.162,0.159,0.155,0.158,0.1389,0.3981,0.2051,0.191,-0.009,0.393,43.12,0.26,0.352,369,385,0.126753,0.111688,NA
HL41_04965,129,38,90,71,35,35,13,54,82,29,48,44,82,35,52,119,67,12,29,21,9,12,3,14,41,15,20,14,23,11,17,20,12,1,11,11,8,6,3,18,3,0,6,4,13,5,13,23,33,10,15,23,7,4,5,13,16,3,8,21,16,3,5,20,17,15,35,15,11,13,2,9,22,11,14,5,30,16,17,56,-0.231,-0.012,-0.195,-0.034,-0.264,-0.012,-0.139,-0.046,-0.231,-0.012,-0.195,-0.034,-0.145,-0.137,-0.141,-0.08,0.335,0.24,0.569,0.145,-0.145,-0.137,-0.141,-0.08,0.108,0.032,0.075,0.059,0.029,0.029,0.011,0.045,0.068,0.024,0.04,0.037,0.068,0.029,0.043,0.099,0.075,0.065,0.062,0.018,0.003,0.008,0.006,0.002,0.003,0.001,0.004,0.011,0.004,0.005,0.004,0.006,0.003,0.005,0.005,0.003,0,0.003,0.003,0.002,0.002,0.001,0.005,0.001,0,0.002,0.001,0.004,0.001,0.004,0.006,0.009,0.003,0.004,0.006,0.002,0.001,0.001,0.004,0.004,0.001,0.002,0.006,0.004,0.001,0.001,0.005,0.005,0.004,0.01,0.004,0.003,0.004,0.001,0.002,0.006,0.003,0.004,0.001,0.008,0.004,0.005,0.015,0.275,0.236,0.227,0.013,0.002,0.005,0.004,0.002,0.002,0.001,0.003,0.008,0.003,0.004,0.003,0.004,0.002,0.003,0.004,0.002,0,0.002,0.002,0.002,0.001,0.001,0.003,0.001,0,0.001,0.001,0.002,0.001,0.002,0.004,0.006,0.002,0.003,0.004,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.004,0.003,0.001,0.001,0.004,0.003,0.003,0.007,0.003,0.002,0.002,0,0.002,0.004,0.002,0.003,0.001,0.006,0.003,0.003,0.011,0.188,0.162,0.155,0.152,0.162,0.1255,0.444,0.2466,0.165,-0.079,0.356,40.66,0.273,0.355,315,318,-0.106918,0.078616,NA
HL41_04970,115,32,96,45,28,18,16,43,75,31,63,44,69,24,39,86,56,15,36,8,9,5,8,10,38,12,30,15,16,6,10,13,8,2,14,4,3,4,4,7,8,0,4,4,14,5,8,16,25,12,20,18,7,4,2,18,19,13,13,18,13,7,9,15,26,3,26,14,9,5,2,8,10,6,16,7,26,6,12,42,-0.242,-0.046,-0.158,-0.037,-0.265,-0.034,-0.134,-0.074,-0.242,-0.046,-0.158,-0.037,-0.118,-0.013,-0.193,-0.201,0.373,0.136,0.666,0.262,-0.118,-0.013,-0.193,-0.201,0.112,0.031,0.094,0.044,0.027,0.018,0.016,0.042,0.073,0.03,0.061,0.043,0.067,0.023,0.038,0.084,0.073,0.065,0.059,0.018,0.005,0.012,0.003,0.003,0.002,0.003,0.003,0.012,0.004,0.01,0.005,0.005,0.002,0.003,0.004,0.003,0.001,0.005,0.001,0.001,0.001,0.001,0.002,0.003,0,0.001,0.001,0.005,0.002,0.003,0.005,0.008,0.004,0.007,0.006,0.002,0.001,0.001,0.006,0.006,0.004,0.004,0.006,0.004,0.002,0.003,0.005,0.008,0.001,0.008,0.005,0.003,0.002,0.001,0.003,0.003,0.002,0.005,0.002,0.008,0.002,0.004,0.014,0.272,0.243,0.217,0.012,0.003,0.008,0.002,0.002,0.001,0.002,0.002,0.008,0.003,0.007,0.003,0.004,0.001,0.002,0.003,0.002,0,0.003,0.001,0.001,0.001,0.001,0.002,0.002,0,0.001,0.001,0.003,0.001,0.002,0.004,0.006,0.003,0.004,0.004,0.002,0.001,0,0.004,0.004,0.003,0.003,0.004,0.003,0.002,0.002,0.003,0.006,0.001,0.006,0.003,0.002,0.001,0,0.002,0.002,0.001,0.004,0.002,0.006,0.001,0.003,0.009,0.185,0.165,0.147,0.162,0.158,0.1393,0.4565,0.2749,0.187,-0.04,0.383,45.17,0.32,0.387,269,274,-0.124088,0.062044,NA
HL41_04975,78,33,72,66,45,34,15,33,65,28,66,46,61,32,52,83,30,12,21,14,11,10,5,7,26,6,30,10,19,13,19,15,12,3,13,17,11,7,3,13,4,3,4,4,8,7,5,13,19,9,20,17,11,9,3,5,22,10,15,19,13,4,12,17,17,9,18,17,12,8,4,8,13,9,17,13,21,8,16,38,-0.263,0.035,-0.24,0.046,-0.335,0.02,-0.153,0.037,-0.263,0.035,-0.24,0.046,-0.08,-0.036,-0.076,-0.112,0.258,0.119,0.576,0.225,-0.08,-0.036,-0.076,-0.112,0.077,0.032,0.071,0.065,0.044,0.033,0.015,0.032,0.064,0.028,0.065,0.045,0.06,0.031,0.051,0.082,0.08,0.063,0.062,0.01,0.004,0.007,0.004,0.004,0.003,0.002,0.002,0.008,0.002,0.01,0.003,0.006,0.004,0.006,0.005,0.004,0.001,0.004,0.005,0.004,0.002,0.001,0.004,0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.004,0.006,0.003,0.006,0.005,0.004,0.003,0.001,0.002,0.007,0.003,0.005,0.006,0.004,0.001,0.004,0.005,0.005,0.003,0.006,0.005,0.004,0.003,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.003,0.005,0.012,0.291,0.227,0.225,0.006,0.003,0.005,0.003,0.002,0.002,0.001,0.002,0.006,0.001,0.006,0.002,0.004,0.003,0.004,0.003,0.003,0.001,0.003,0.004,0.002,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.003,0.004,0.002,0.004,0.004,0.002,0.002,0.001,0.001,0.005,0.002,0.003,0.004,0.003,0.001,0.003,0.004,0.004,0.002,0.004,0.004,0.003,0.002,0.001,0.002,0.003,0.002,0.004,0.003,0.005,0.002,0.003,0.008,0.197,0.153,0.151,0.159,0.166,0.181,0.3873,0.2443,0.187,-0.109,0.357,46.51,0.316,0.411,263,269,-0.064312,0.085502,NA
HL41_04980,55,10,42,33,19,18,4,20,30,21,33,24,36,12,29,54,24,3,15,12,3,3,1,3,12,7,18,5,12,7,6,8,3,1,8,7,7,2,1,8,0,0,2,2,4,1,8,7,9,4,12,5,7,6,1,7,9,8,5,11,7,0,6,11,19,2,7,8,2,7,1,2,9,6,8,6,13,4,9,28,-0.25,0.012,-0.175,-0.021,-0.279,0.023,-0.153,-0.057,-0.25,0.012,-0.175,-0.021,-0.132,-0.152,-0.166,-0.166,0.331,0.141,0.73,0.302,-0.132,-0.152,-0.166,-0.166,0.099,0.018,0.076,0.059,0.034,0.032,0.007,0.036,0.054,0.038,0.059,0.043,0.065,0.022,0.052,0.097,0.077,0.066,0.063,0.014,0.002,0.009,0.007,0.002,0.002,0.001,0.002,0.007,0.004,0.01,0.003,0.007,0.004,0.003,0.005,0.002,0.001,0.005,0.004,0.004,0.001,0.001,0.005,0,0,0.001,0.001,0.002,0.001,0.005,0.004,0.005,0.002,0.007,0.003,0.004,0.003,0.001,0.004,0.005,0.005,0.003,0.006,0.004,0,0.003,0.006,0.011,0.001,0.004,0.005,0.001,0.004,0.001,0.001,0.005,0.003,0.005,0.003,0.008,0.002,0.005,0.016,0.279,0.239,0.226,0.01,0.001,0.006,0.005,0.001,0.001,0,0.001,0.005,0.003,0.007,0.002,0.005,0.003,0.002,0.003,0.001,0,0.003,0.003,0.003,0.001,0,0.003,0,0,0.001,0.001,0.002,0,0.003,0.003,0.004,0.002,0.005,0.002,0.003,0.002,0,0.003,0.004,0.003,0.002,0.004,0.003,0,0.002,0.004,0.008,0.001,0.003,0.003,0.001,0.003,0,0.001,0.004,0.002,0.003,0.002,0.005,0.002,0.004,0.011,0.19,0.161,0.153,0.158,0.163,0.1091,0.4,0.3137,0.194,-0.175,0.308,43.68,0.308,0.386,143,146,0.05,0.109589,NA
HL41_04985,92,23,33,34,23,24,3,32,27,11,15,14,40,24,16,50,52,13,13,13,4,11,0,8,18,3,6,6,13,7,5,9,9,2,8,4,5,5,1,13,2,0,0,1,10,5,6,11,18,2,4,3,4,3,0,4,4,5,2,4,3,2,1,8,13,6,8,13,10,5,2,7,3,3,7,3,14,10,4,22,-0.17,-0.001,-0.202,0.021,-0.229,0.014,-0.116,-0.058,-0.17,-0.001,-0.202,0.021,-0.332,-0.191,-0.433,-0.339,0.542,0.199,0.69,0.182,-0.332,-0.191,-0.433,-0.339,0.16,0.04,0.057,0.059,0.04,0.042,0.005,0.056,0.047,0.019,0.026,0.024,0.07,0.042,0.028,0.087,0.073,0.065,0.061,0.03,0.008,0.008,0.008,0.002,0.006,0,0.005,0.011,0.002,0.004,0.004,0.008,0.004,0.003,0.005,0.005,0.001,0.005,0.002,0.003,0.003,0.001,0.008,0.001,0,0,0.001,0.006,0.003,0.004,0.006,0.011,0.001,0.002,0.002,0.002,0.002,0,0.002,0.002,0.003,0.001,0.002,0.002,0.001,0.001,0.005,0.008,0.004,0.005,0.008,0.006,0.003,0.001,0.004,0.002,0.002,0.004,0.002,0.008,0.006,0.002,0.013,0.267,0.239,0.224,0.021,0.005,0.005,0.005,0.002,0.004,0,0.003,0.007,0.001,0.002,0.002,0.005,0.003,0.002,0.004,0.004,0.001,0.003,0.002,0.002,0.002,0,0.005,0.001,0,0,0,0.004,0.002,0.002,0.004,0.007,0.001,0.002,0.001,0.002,0.001,0,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0,0.003,0.005,0.002,0.003,0.005,0.004,0.002,0.001,0.003,0.001,0.001,0.003,0.001,0.006,0.004,0.002,0.009,0.183,0.163,0.153,0.161,0.155,0.2407,0.5641,0.1346,0.208,0.013,0.427,43.68,0.267,0.325,150,153,-0.242484,0.117647,NA
HL41_04990,152,53,113,55,47,34,15,60,83,40,72,47,91,29,42,83,72,22,43,14,18,13,7,15,42,18,35,18,22,10,15,8,20,3,18,6,12,7,2,13,4,4,5,2,16,11,11,22,32,15,21,15,8,10,4,18,23,13,18,18,21,3,6,17,28,13,31,19,9,4,2,14,14,5,14,9,32,5,10,36,-0.26,0.005,-0.198,0.043,-0.29,0.036,-0.142,-0.029,-0.26,0.005,-0.198,0.043,-0.135,-0.038,-0.239,-0.137,0.252,0.177,0.552,0.104,-0.135,-0.038,-0.239,-0.137,0.119,0.042,0.089,0.043,0.037,0.027,0.012,0.047,0.065,0.031,0.057,0.037,0.071,0.023,0.033,0.065,0.075,0.063,0.064,0.018,0.006,0.011,0.004,0.005,0.003,0.002,0.004,0.011,0.005,0.009,0.005,0.006,0.003,0.004,0.002,0.005,0.001,0.005,0.002,0.003,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.004,0.003,0.003,0.006,0.008,0.004,0.005,0.004,0.002,0.003,0.001,0.005,0.006,0.003,0.005,0.005,0.005,0.001,0.002,0.004,0.007,0.003,0.008,0.005,0.002,0.001,0.001,0.004,0.004,0.001,0.004,0.002,0.008,0.001,0.003,0.009,0.277,0.232,0.23,0.013,0.004,0.008,0.002,0.003,0.002,0.001,0.003,0.007,0.003,0.006,0.003,0.004,0.002,0.003,0.001,0.004,0.001,0.003,0.001,0.002,0.001,0,0.002,0.001,0.001,0.001,0,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.001,0.002,0.001,0.003,0.004,0.002,0.003,0.003,0.004,0.001,0.001,0.003,0.005,0.002,0.005,0.003,0.002,0.001,0,0.002,0.002,0.001,0.002,0.002,0.006,0.001,0.002,0.006,0.19,0.159,0.158,0.154,0.161,0.2048,0.4596,0.2075,0.191,-0.03,0.402,45.52,0.318,0.393,333,338,-0.188757,0.059172,NA
HL41_04995,95,36,61,49,29,26,11,50,53,24,40,31,63,30,37,93,45,15,28,7,7,12,5,12,23,8,19,10,14,11,8,16,8,2,11,8,5,8,1,12,1,3,4,3,8,4,10,28,23,9,9,12,5,3,1,15,13,6,8,13,10,1,7,13,19,10,13,21,12,3,4,11,16,7,9,5,31,14,12,36,-0.195,-0.029,-0.209,0.014,-0.262,-0.009,-0.138,-0.035,-0.195,-0.029,-0.209,0.014,-0.149,-0.052,-0.253,-0.283,0.256,0.096,0.56,0.107,-0.149,-0.052,-0.253,-0.283,0.104,0.039,0.067,0.054,0.032,0.029,0.012,0.055,0.058,0.026,0.044,0.034,0.069,0.033,0.041,0.102,0.076,0.064,0.061,0.016,0.005,0.01,0.003,0.003,0.004,0.002,0.004,0.008,0.003,0.007,0.004,0.005,0.004,0.003,0.006,0.003,0.001,0.004,0.003,0.002,0.003,0,0.004,0,0.001,0.001,0.001,0.003,0.001,0.004,0.01,0.008,0.003,0.003,0.004,0.002,0.001,0,0.005,0.005,0.002,0.003,0.005,0.004,0,0.003,0.005,0.007,0.004,0.005,0.008,0.004,0.001,0.001,0.004,0.006,0.003,0.003,0.002,0.011,0.005,0.004,0.013,0.28,0.233,0.224,0.011,0.004,0.007,0.002,0.002,0.003,0.001,0.003,0.006,0.002,0.005,0.002,0.003,0.003,0.002,0.004,0.002,0,0.003,0.002,0.001,0.002,0,0.003,0,0.001,0.001,0.001,0.002,0.001,0.002,0.007,0.006,0.002,0.002,0.003,0.001,0.001,0,0.004,0.003,0.001,0.002,0.003,0.002,0,0.002,0.003,0.005,0.002,0.003,0.005,0.003,0.001,0.001,0.003,0.004,0.002,0.002,0.001,0.008,0.003,0.003,0.009,0.191,0.159,0.152,0.17,0.147,0.2077,0.4175,0.193,0.2,0.004,0.414,38.39,0.3,0.364,237,242,0.107851,0.078512,NA
HL41_05000,48,29,58,49,27,26,14,55,40,28,65,55,68,39,52,114,14,8,17,9,10,7,2,10,14,11,21,11,8,11,12,18,6,0,12,9,6,8,4,8,3,3,3,5,11,8,12,24,9,5,14,12,4,6,3,15,13,6,15,31,17,4,15,19,19,16,15,18,7,5,5,22,10,8,26,8,32,16,13,53,-0.275,-0.054,-0.229,-0.056,-0.318,-0.04,-0.183,-0.063,-0.275,-0.054,-0.229,-0.056,-0.005,-0.024,0.047,-0.055,0.198,0.089,0.582,0.229,-0.005,-0.024,0.047,-0.055,0.05,0.03,0.06,0.051,0.028,0.027,0.014,0.057,0.041,0.029,0.067,0.057,0.07,0.04,0.054,0.118,0.081,0.067,0.061,0.005,0.003,0.006,0.003,0.003,0.002,0.001,0.003,0.005,0.004,0.007,0.004,0.003,0.004,0.004,0.006,0.002,0,0.004,0.003,0.002,0.003,0.001,0.003,0.001,0.001,0.001,0.002,0.004,0.003,0.004,0.008,0.003,0.002,0.005,0.004,0.001,0.002,0.001,0.005,0.004,0.002,0.005,0.01,0.006,0.001,0.005,0.006,0.006,0.005,0.005,0.006,0.002,0.002,0.002,0.007,0.003,0.003,0.009,0.003,0.011,0.005,0.004,0.018,0.29,0.242,0.215,0.003,0.002,0.004,0.002,0.002,0.002,0,0.002,0.003,0.002,0.005,0.002,0.002,0.002,0.003,0.004,0.001,0,0.003,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.005,0.002,0.001,0.003,0.003,0.001,0.001,0.001,0.003,0.003,0.001,0.003,0.007,0.004,0.001,0.003,0.004,0.004,0.004,0.003,0.004,0.002,0.001,0.001,0.005,0.002,0.002,0.006,0.002,0.007,0.004,0.003,0.012,0.197,0.164,0.146,0.164,0.157,0.1802,0.3088,0.2265,0.18,-0.053,0.363,45.9,0.331,0.405,245,255,0.980784,0.105882,NA
